FIRE_CAUSE,LATITUDE,LONGITUDE,SIZE_HA,Year,Month,Weather City,Region Name,Region Number,Region Area,Lightning Dummy
Lightning,50.9326,-122.2347,0.009,2005,05,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Person,54.6557,-124.6619,12.1,2010,04,Prince George,Bulkley-Nechako + Stikine,51.0,19202453.0,0
Person,49.886,-120.9034,0.009,2003,09,Penticton,Thompson-Nicola,33.0,4444942.0,0
Lightning,50.4833,-119.3783,0.009,2001,05,Penticton,Columbia-Shuswap,39.0,2892919.0,1
Lightning,52.4825,-120.8122,1.7,2003,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,51.0852,-119.1727,0.009,2015,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Person,50.4073,-115.8965,1.0,2003,04,Sparwood,East Kootenay,1.0,2754184.0,0
Lightning,50.2193,-122.8503,0.3,2008,08,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Lightning,55.084500000000006,-120.2014,0.1,2006,07,Dawson Creek,Peace River,55.0,11738755.0,1
Lightning,49.5105,-117.6936,0.009,2002,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Person,50.8123,-121.1231,0.009,2003,07,Williams Lake,Thompson-Nicola,33.0,4444942.0,0
Lightning,52.438300000000005,-123.0,0.5,2004,06,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,49.4151,-115.0693,0.9,2018,08,Sparwood,East Kootenay,1.0,2754184.0,1
Lightning,50.4033,-120.006,1.2,2003,07,Penticton,Thompson-Nicola,33.0,4444942.0,1
Lightning,50.776900000000005,-122.3427,0.15,2009,08,Whistler,Squamish-Lillooet,31.0,1631162.0,1
Person,49.9865,-117.8727,0.09,2008,07,Nakusp,Central Kootenay,3.0,2209494.0,0
Person,50.5552,-123.0274,0.009,2007,08,Whistler,Squamish-Lillooet,31.0,1631162.0,0
Lightning,49.5315,-117.0328,0.009,2012,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,50.5063,-119.8029,0.009,2004,08,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,55.8333,-120.4333,0.1,2002,05,Dawson Creek,Peace River,55.0,11738755.0,0
Person,52.032500000000006,-123.1854,0.009,2003,06,Williams Lake,Cariboo,41.0,8060975.0,0
Person,49.2475,-125.3803,0.009,2008,07,Tofino,Alberni-Clayquot,23.0,658915.0,0
Lightning,52.4401,-124.8847,0.4,2012,08,Bella Coola,Cariboo,41.0,8060975.0,1
Lightning,51.039100000000005,-116.5376,0.009,2008,08,Golden,Columbia-Shuswap,39.0,2892919.0,1
Lightning,50.423300000000005,-117.1704,0.3,2003,08,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,52.0581,-122.8154,0.0,2017,07,Williams Lake,Cariboo,41.0,8060975.0,1
Lightning,59.881,-135.22320000000002,1.5,2004,07,Dease Lake,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Lightning,49.906200000000005,-117.2518,173.0,2014,07,Nakusp,Central Kootenay,3.0,2209494.0,1
Lightning,49.663700000000006,-119.7598,0.1,2009,07,Penticton,Okanagan-Similkameen,7.0,1041168.0,1
Lightning,53.04,-126.385,23.0,2009,08,Bella Coola,Bulkley-Nechako + Stikine,51.0,19202453.0,1
Person,49.6725,-123.963,3.8,2019,08,Vancouver,Sunshine Coast,29.0,377373.0,0
Lightning,58.452000000000005,-121.1655,14.4,2016,06,Fort Nelson,Northern Rockies,59.0,8511107.0,1
Lightning,52.2383,-124.8333,0.1,2009,08,Bella Coola,Cariboo,41.0,8060975.0,1
Lightning,50.9172,-118.3661,100.0,2018,08,Nakusp,Columbia-Shuswap,39.0,2892919.0,1
Lightning,51.0931,-121.654,0.009,2010,08,Williams Lake,Thompson-Nicola,33.0,4444942.0,1
Person,49.5965,-115.8558,6.7,2018,07,Sparwood,East Kootenay,1.0,2754184.0,0
Lightning,50.427800000000005,-121.6075,0.65,2005,05,Whistler,Thompson-Nicola,33.0,4444942.0,1
Lightning,50.5397,-125.777,0.009,2004,08,Tofino,Comox + Strathacona,25.0,1997796.0,1
Lightning,49.1809,-117.6795,0.002,2015,08,Nakusp,Kooteny Boundary,5.0,808452.0,1
Lightning,50.6003,-120.178,0.009,2015,06,Penticton,Thompson-Nicola,33.0,4444942.0,1
Person,52.9729,-119.3537,0.3,2013,08,Williams Lake,Fraser-Fort George,53.0,5067610.0,0
Lightning,52.5094,-121.2792,0.01,2007,08,Williams Lake,Cariboo,41.0,8060975.0,1
